	nonstereo_aromatic_smiles
535	c1cc(cc(c1)I)Cl
536	COc1ccc(cc1)C(c2cncnc2)(C3CC3)O
537	CC1=CCCCC1
538	CCCOC=O
539	CN(C)C(=S)SSC(=S)N(C)C
540	CCOc1ccc(cc1)C(C)(C)COCc2cccc(c2)Oc3ccccc3
541	c1cc(c(cc1C2CC(=O)c3c(cc(cc3O2)O)O)O)O
542	CC1=CC(=O)CC(C1)(C)C
543	CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
544	CC(C)Nc1nc(nc(n1)SC)NCCCOC
545	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
546	c1ccc(cc1)C(=O)c2ccccc2
547	CCC(C(C)C)O
548	CCCCCC1CCCC1
549	C1CC12C(=O)NC(=O)NC2=O
550	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
551	CC1(C2CCC1(C(=O)C2)C)C
552	CCCCC(=O)OC
553	CC#N
554	CCN1c2ccccc2Oc3ccccc3C1=O
555	CCc1ccccc1
556	CC1=CCC(CC1=O)C(=C)C
557	c1ccc(c(c1)C(=O)N)O
558	c1ccc(cc1)NN
559	CCN1c2ccccc2N(C(=S)c3c1nccc3)C
560	Cc1cc(cc(c1)C)C
561	Cc1c(cco1)C(=O)Nc2ccccc2
562	c1ccnnc1
563	CCNc1nc(nc(n1)OC)NC(C)C
564	c1cc(c(cc1Cl)Cl)c2ccc(c(c2Cl)Cl)Cl
565	c1ccc2cc3cc4ccccc4cc3cc2c1
566	CCC(c1ccc(cc1)O)C(CC)c2ccc(cc2)O
567	c1ccc(cc1)NNc2ccccc2
568	Cc1ccc2c(c1)Oc3c(cc(cn3)N)C(=O)N2C
569	c1cc(c(c(c1)Cl)Cl)c2ccc(cc2)Cl
570	c1cc(c(c2c1C3=C4C=C(C(=O)C=C4CC3(CO2)O)O)O)O
571	CC(C)CBr
572	COc1c2c(nccn2)ncn1
573	C=CC=C
574	CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C
575	CCCCCC(C)O
576	Cc1cc(ccc1N(C)C)OC(=O)NC
577	c1c(cc(c(c1O)Cl)Cl)Cl
578	c1ccc(cc1)c2ccc(c(c2)Cl)Cl
579	c1c(c(nc(=O)[nH]1)N)F
580	c1ccc2c(c1)cccn2
581	c1cnccc1O
582	CC(C)CCCO
583	CC12CCc3c4ccc(cc4ccc3C1CCC2=O)O
584	CCCCCCCCCC(C)O
585	Cc1cccnc1C
586	COc1ncc2c(n1)nccn2
587	CCCCCCCC(=O)OC
588	Cc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
589	CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
590	Cc1cc(cnc1)C
591	c1cc(c(c(c1)Cl)O)Cl
592	c1ccc(cc1)S
593	CN(C)C(=O)SCCCCOc1ccccc1
594	CC(C)(C)CCO
595	CCCCC(C)CC
596	CC1=C(C(C(=C(N1)C)C(=O)OC)c2ccccc2[N+](=O)[O-])C(=O)OC
597	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
598	CC(C)(C)CO
599	c1cc(c(cc1O)Cl)Cl
600	CC1(C(=O)NC(=O)NC1=O)CC=C
601	Cc1c(c(c(c(c1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F
602	CC1(C(C1C(=O)OCc2cccc(c2)Oc3ccccc3)C=C(Cl)Cl)C
603	CCCC(C)(CC)O
604	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
605	c1c(cc(c(c1Cl)Cl)Cl)Cl
606	c1ccc(cc1)Cl
607	CC(C)C(C)C
608	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
609	CCC1(C(=O)NC(=O)N(C1=O)C)CC
610	CCCC(CC)O
611	CCCCCCCCCCCCCC
612	CN(C(=O)Nc1ccc(c(c1)Cl)Cl)OC
613	CCCCO
614	c1cnc2c(n1)cncn2
615	CC1(CC(=CC(=O)C1)OC(=O)N(C)C)C
616	c1cc(cc(c1)F)F
617	c1ccc2c(c1)cc[nH]2
618	C1C(C(C(C(O1)O)O)O)O
619	CCN1c2ccccc2N(C(=O)c3c1nccc3)C
620	CCC[N+](=O)[O-]
621	Cc1cc(n(n1)c2ccccc2)OC(=O)N(C)C
622	c1ccc(c(c1)[N+](=O)[O-])Cl
623	C(CCl)CCl
624	c1ccc(c(c1)C(Cn2cncn2)(c3ccc(cc3)F)O)F
625	c1ccc(cc1)N=Nc2ccccc2
626	COc1ccc(cc1)C=O
627	CCC(C)C(=O)C
628	CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
629	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
630	C1(C(=O)NC(=O)N1)NC(=O)N
631	CCCCCCc1ccccc1
632	Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
633	c1cc(ccc1N)S(=O)(=O)N
634	CCCC#C
635	CC(C)OC(=O)C(c1ccc(cc1)Br)(c2ccc(cc2)Br)O
636	Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4Cl)Cl
637	COCOC
638	c1ccc(cc1)Br
639	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
640	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl
641	CC1OCC2C(O1)C(C(C(O2)OC3c4cc5c(cc4C(C6C3COC6=O)c7cc(c(c(c7)OC)O)OC)OCO5)O)O
642	CN(c1ccccc1)C(=O)COc2nc3ccccc3s2
643	CCCCSP(=O)(SCCCC)SCCCC
644	Cc1ccc2c(c1)ccc3c2cc4cccc5c4c3CC5
645	c1ccc(cc1)C2=NCC(=O)Nc3c2cc(cc3)[N+](=O)[O-]
646	CC12CCC3C(C1CCC2O)CCC4C3(CC5C(C4)S5)C
647	CC(=O)OC
648	c1c(cc(c(c1Cl)O)Cl)Cl
649	CC1(C(C1(C)C)C(=O)OC(C#N)c2cccc(c2)Oc3ccccc3)C
650	C1(=C(C(C(=C1Cl)Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
651	CCCCC(=O)C
652	CC1(C2CCC1(C(C2)O)C)C
653	Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl
654	CC(C)CNC(=O)N1CCNC1=O
655	c1ccc2c(c1)ccc3c2cc4cccc5c4c3CC5
656	c1cc(oc1C=NO)[N+](=O)[O-]
657	CCC(C)(C)C
658	CCCCCCCCCCO
659	CCC(CC)(C(=O)NC(=O)N)Br
660	CCOP(=S)(OCC)SCSC(C)(C)C
661	CCCCOC(=O)CCCCCCCCC(=O)OCCCC
662	c1cc(ccc1Br)I
663	COC(=O)c1ccccc1
664	CC1=C(CCCO1)C(=O)Nc2ccccc2
665	c1ccc(cc1)C(F)(F)F
666	CC(C)C
667	Cc1ccccc1N2C(Nc3cc(c(cc3C2=O)S(=O)(=O)N)Cl)C
668	c1ccc(c(c1)N)[N+](=O)[O-]
669	CC(C)c1ccc(cc1)NC(=O)N(C)C
670	CCN(Cc1c(cccc1Cl)F)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
671	C(CBr)Br
672	CC(=O)Nc1ccc(cc1)Br
673	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C
674	c1ccc2c(c1)c3ccccc3c4c2cccc4
675	C1CC2(C1)C(=O)NC(=O)NC2=O
676	CC(C)CCO
677	CCCCCc1ccccc1
678	CCCCCC
679	Cc1ccc(cc1)C(C)C
680	CC(C(=O)NC)SCCSP(=O)(OC)OC
681	CC(=O)Nc1ccc(cc1)F
682	c1c(cc(cc1Cl)Cl)Cl
683	CC(C)OC(=O)Nc1cccc(c1)Cl
684	CN(C)C(=O)Nc1ccc(cc1)Cl
685	CCC1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl
686	c1c(cc(cc1Br)Br)Br
687	C(Br)(Br)(Br)Br
688	CC(C)CO
689	c1cc(cc(c1)O)O
690	C=C(Cl)Cl
691	c1ccc2c(c1)cccc2N
692	CCCI
693	CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
694	c1cc2cccc3c2c(c1)CC3
695	c1ccc(cc1)NC(=O)c2ccccc2O
696	CN(C=O)C(=O)CSP(=S)(OC)OC
697	CCN1c2c(cccn2)C(=O)N(c3c1nccc3)C
698	c1ccc(cc1)NC(=S)N
699	CCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
700	c1cc(c(cc1Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
701	CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
702	c1ccccc1
703	CCC(C)C1(C(=O)NC(=O)NC1=O)CC(=C)Br
704	CC1(C(C1C(=O)OC(C#N)c2cccc(c2)Oc3ccccc3)C=C(C(F)(F)F)Cl)C
705	CCC(C)(C)CO
706	C(=CCl)Cl
707	c1cc(cc(c1)Cl)NC(=O)OCC#CCCl
708	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl
709	C1CCC(CC1)n2c(=O)c3c([nH]c2=O)CCC3
710	Cc1cccc-2c1Cc3c2cccc3
711	c1ccc2cc(ccc2c1)O
712	Cc1ccc2c(c1)ccc3c2cccc3
713	c1ccc2c(c1)Cc3ccccc3N(C2=O)CCF
714	CCCCCCCCCCCCCCCCCCCC
715	c1cc(cc(c1)Cl)N
716	CC(=O)CC(c1ccccc1)c2c(c3ccccc3oc2=O)O
717	C#C
718	CCNc1nc(nc(n1)Cl)NCC
719	c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67
720	c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O
721	Cc1cccc2c1cccc2C
722	c1c(cc(cc1Cl)Cl)O
723	c1cc2ccc3c(c2nc1)cccn3
724	c1ccc2c(c1)ccc3c2ccc4c3ccc5c4cccc5
725	c1ccc(cc1)c2ccccc2
726	Cc1cccc2c1ccc3c2cccc3
727	CCCCCCCC(=O)C
728	COC1=CC2C(C(=C1)O)C(=O)C3C=C(C=CC3O2)O
729	c1cc(cc(c1)O)[N+](=O)[O-]
730	c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N
731	c1ccc(c(c1)C2=NCC(=O)Nc3c2cc(cc3)[N+](=O)[O-])Cl
732	Cc1ccc(c(c1)C)N=CN(C)C=Nc2ccc(cc2C)C
733	CC(C#C)N(C)C(=O)Nc1ccc(cc1)Cl
734	CCCCCOC(=O)C
735	c1ccc(c(c1)c2ccccc2Cl)Cl
736	c1ccc(cc1)CCl
737	Cc1c(c(=O)n(n1C)c2ccccc2)N
738	CCC(C)C
739	CC(=O)CC(c1ccc(cc1)Cl)c2c(c3ccccc3oc2=O)O
740	CCN1c2c(cccn2)C(=O)Nc3c1nc(cc3)N(C)CCO
741	Cc1ccccc1Br
742	CCN1c2cc(cc(c2NC(=O)c3c1nccc3)C)OC
743	CC(C)c1ccccc1
744	CC(=O)Nc1nnc(s1)S(=O)(=O)N
745	c1cc(c(cc1Cl)Cl)c2cc(ccc2Cl)Cl
746	Cc1c(c(=O)n(n1C)c2ccccc2)N(C)C
747	c1ccc(cc1)Oc2ccccc2
748	c1cc(c(cc1O)O)c2c(c(=O)c3c(cc(cc3o2)O)O)O
749	CC(C)O
750	c1ccc(cc1)C(CC(c2ccc(cc2)c3ccc(cc3)Br)O)c4c(c5ccccc5oc4=O)O
751	c1cc(ccc1[N+](=O)[O-])Cl
752	c1ccc(cc1)C2(C(=O)NC(=O)N2)c3ccccc3
753	CCN1c2ccccc2C(=O)N(c3c1cccc3)C
754	c1cc(c(cc1Cl)Cl)Cl
755	CO
756	CCCCCC(=O)OC
757	CC(=CCc1c(ccc2c1oc(=O)cc2)OC)C
758	CCCOC(=O)c1ccc(cc1)N
759	c1cc(cnc1)C(=O)N
760	c1cc(c(cc1[N+](=O)[O-])Cl)NC(=O)c2cc(ccc2O)Cl
761	CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
762	CCCOC(=O)C
763	c1ccc2c(c1)cc3c(cccc3n2)N
764	c1ccc2cc(ccc2c1)Br
765	CN(C)C(=O)NC1CCCCCCC1
766	CCCCCCCl
767	Cc1ccnc(c1)C
768	CCC#C
769	CCC(C)Cl
770	Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2
771	COc1c2c(ccc(=O)o2)cc3c1occ3
772	CC(Cl)Cl
773	C1CCCCC1
774	c1ccc2c(c1)ccc3c2cc(c4c3cccc4)N
775	CCCC(C)(C)O
776	Cc1c(c2c3ccccc3ccc2c4c1cccc4)C
777	Cc1ccc(cc1)[N+](=O)[O-]
778	CCC(C)(C)Cl
779	COC(=O)C=C
780	CC(C)(C)C(=NOC(=O)NC)CSC
781	CCCOC(=O)CC
782	CCCl
783	c1cnc([nH]c1=O)S
784	CC(C)OC=O
785	c1ccc(cc1)c2ccc(cc2)c3ccccc3
786	C(C#N)Cl
787	CCCC(C)(C)CO
788	CCC(C)C(C)C
789	CCCCCO
790	Cc1ccccc1C(C)C
791	CCOC=C
792	C(Cl)(Cl)Cl
793	Cc1ccc(c(c1)C)C
794	CC1CO1
795	c1cc2ccc3ccc4ccc5cccc6c5c4c3c2c6c1
796	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O
797	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
798	c1cc(oc1C=NN2CC(=O)NC2=O)[N+](=O)[O-]
799	CNc1ccccc1
800	CCCCOCCO
801	CCCCCCc1ccc(cc1O)O
802	CCN(CC)c1nc(nc(n1)Cl)N(CC)CC
803	CC(C)Br
804	c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
805	Cc1ncc(n1CCO)[N+](=O)[O-]
806	c1ccc2c(c1)ccc-3c2-c4cccc5c4c3ccc5
807	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
808	Cc1cc(c(cc1NC(=O)C)NS(=O)(=O)C(F)(F)F)C
809	c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
810	CCC1CCCCC1
811	C1CCC2(C1)C(=O)NC(=O)NC2=O
812	CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C
813	CCC(=O)CC
814	Cc1cccc(c1N(C(C)C(=O)OC)C(=O)COC)C
815	CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
816	CCCCCC(C)C
817	CC(=C)C
818	CC1(C2CCC(C2)(C1=O)C)C
819	C=CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
820	CC1(C(C1C(=O)OC(C#N)c2cccc(c2)Oc3ccccc3)C=C(Br)Br)C
821	Cc1ccc(cc1O)C(C)C
822	CN(C(=O)Nc1ccc(cc1)Cl)OC
823	C1CCCCCCC1
824	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
825	c1ccc(cc1)c2cccc(c2)Cl
826	CCOC(=O)Nc1cccc(c1)OC(=O)Nc2ccccc2
827	c1cc(c(cc1Cl)O)Oc2ccc(cc2Cl)Cl
828	CC12CCC3c4ccc(cc4CCC3C1CC(C2O)O)O
829	CCC(C)(CC)O
830	c1cc(ccc1C(c2ccc(cc2)Cl)(C(Cl)(Cl)Cl)O)Cl
831	c1ccncc1
832	c1ccc2c(c1)C(=O)NC2(c3ccc(c(c3)S(=O)(=O)N)Cl)O
833	CCCC
834	c1c(c(c(c(c1Cl)Cl)Cl)O)Cl
835	c1ccc(cc1)C2CO2
836	c1cc(c(c(c1)Cl)Cl)Cl
837	Cc1cccc(c1)C
838	CCN1c2c(cccn2)C(=S)N(c3c1nccc3)C
839	CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O
840	CN(C)C(=O)Nc1ccc(c(c1)Cl)OC
841	Cc1ccc2cc(ccc2c1)C
842	CC1(CON(C1=O)Cc2ccccc2Cl)C
843	CCCCCCCCCCCCCCCC
844	CC1=CC2C(CCC3(C2CCC3(C)C(=O)C)C)C4(C1=CC(=O)CC4)C
845	CCCC=C(CC)C=O
846	c1ccc(cc1)Nc2ccccc2
847	c1cn(c2c1c(ncn2)N)C3C(C(C(O3)CO)O)O
848	CC(C)I
849	CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
850	Cc1ccccc1
851	CCCC(=O)OCCC
852	CCSSCC
853	c1cc(oc1)C=O
854	c1ccc(c(c1)O)O
855	c1ccc(cc1)C2=NC(C(=O)Nc3c2cc(cc3)Cl)O
856	c1csc(n1)N
857	C=CC=O
858	c1cc(ccc1Cl)Cl
859	c1ccc(cc1)NC(=O)c2ccccc2I
860	c1cc(c(cc1Br)Br)Br
861	c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
862	CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(cc(c2)Cl)Cl
863	Cn1cc(c(=O)c(c1)c2cccc(c2)C(F)(F)F)c3ccccc3
864	CC1(C(=O)NC(=O)NC1=O)C
865	CC(C)CCOC(=O)C
866	c1[nH]c2c(nc(nc2n1)O)N
867	CC(C)C1(C(=O)NC(=O)NC1=O)CC=C(C)C
868	c1ccc(c(c1)C#N)C#N
869	c1cc(ccc1O)Br
870	CCOCC
871	c1cc(c(cc1Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
872	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
873	c1cc(ccc1[N+](=O)[O-])Oc2ccc(cc2Cl)Cl
874	CC(=O)c1ccccc1
875	CCOC(=O)c1ccccc1
876	C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl
877	CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)[N+](=O)[O-]
878	COP(=S)(OC)Oc1ccc(cc1Cl)[N+](=O)[O-]
879	c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl
880	c1ccnc(c1)O
881	Cn1c2c(c(=O)n(c1=O)C)[nH]cn2
882	CC1CCCCC1C
883	Cn1cnc2c1c(=O)[nH]c(=O)n2C
884	c1ccc2cc-3c(cc2c1)Cc4c3cccc4
885	C(C(C(CO)O)O)O
886	C(#N)N=C(N)N
887	CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C
888	CNC(=O)ON=C(C(=O)N(C)C)SC
889	C(Cl)(Cl)(Cl)Cl
890	CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-]
891	c1ccc(c(c1)F)Br
892	CC(=C)C1Cc2c(ccc3c2OC4COc5cc(c(cc5C4C3=O)OC)OC)O1
893	CC(=O)OCC(COC(=O)C)OC(=O)C
894	Cc1c(c(c(c(c1C)C)C)C)C
895	c1ccc2c(c1)c3ccccc3o2
896	C=CCl
897	c1ccc2c(c1)ccc-3c2Cc4c3cccc4
898	CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=O)C
899	c1ccc2c(c1)ccc3c2cccc3
900	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
901	CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
902	Cc1ccc(c2c1cccc2)C
903	C1CCCC(CCC1)O
904	CCC1(CCC(=O)NC1=O)c2ccccc2
905	CCCC(=O)CCC
906	CCOc1ccc(cc1)NC(=O)C
907	CCCCCCC(=O)OCC
908	Cc1c2ccccc2c(c3c1cccc3)C
909	CCCCCCCC(=O)OCC
910	CCCCC(C)(C)O
911	CC(C)C1(C(=O)NC(=O)NC1=O)CC=C
912	c1cc(cc(c1)Br)F
913	c1c(c(cc(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl
914	c1cc(ccc1Cl)I
915	c1ccc2cc3ccccc3cc2c1
916	c1cc(cc(c1)Cl)c2cc(ccc2Cl)Cl
917	c1ccc(cc1)C(=C2C3C=C(C2C4C3C(=O)NC4=O)C(c5ccccc5)(c6ccccn6)O)c7ccccn7
918	c1cc(ccc1c2ccc(cc2)N)N
919	CCCC(C)(COC(=O)N)COC(=O)N
920	CCCCCCCC(C)O
921	CCC(=O)OCC
922	c1cc(ccc1O)Cl
923	Cc1cnc2cncnc2n1
924	CC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)OC(=O)C)O
925	CC(C)Cl
926	CCCCCC=O
927	c1cc2c(cc1C=O)OCO2
928	CC12CCC3C(C1CCC2(C#C)O)CCC4=Cc5c(cno5)CC34C
929	CCCCC(=O)OCC
930	CN(C)c1nc(nc(n1)SC)N(C)C
931	CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
932	CCN1c2cccnc2N(c3c(cccn3)C1=O)CC
933	c1ccc(c(c1)N)Cl
934	CC(=O)Nc1ccc(cc1)Cl
935	c1ccc(cc1)N
936	c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NCN2
937	COc1cc(ccc1O)CC=C
938	c1ccc(c(c1)c2ccc(cc2)Cl)Cl
939	C1(C(C(C(C(C1O)O)O)O)O)O
940	CCN(CC)c1nc(nc(n1)Cl)NC(C)C
941	c1c(cc(c(c1Cl)c2c(cc(cc2Cl)Cl)Cl)Cl)Cl
942	CC#C
943	CCC(=O)OC
944	CCCCCCC
945	c1ccoc1
946	CN(C)C(=O)Nc1ccc(cc1)Oc2ccc(cc2)Cl
947	c1c(c(cc(c1Cl)Cl)Cl)Cl
948	C=CCC1(C(=O)NC(=O)NC1=O)CC=C
949	CCCCC
950	c1ccc2c(c1)CCCC2c3c(c4ccccc4oc3=O)O
951	c1ccc2c(c1)cccc2[N+](=O)[O-]
952	Cc1ccc2c(c1)C(=O)N(c3cc(ccc3O2)N)C
953	CCc1cccc(c1N(C(C)COC)C(=O)CCl)C
954	c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)NC(=O)CC(Cl)Cl
955	Cc1ccc2ccc(nc2c1)C
956	CCCCCCCCBr
957	Cn1c2c(c(=O)n(c1=O)C)n(cn2)CC(CO)O
958	c1c(c(cc(c1Cl)Cl)Cl)O
959	c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl
960	COP(=S)(OC)Oc1ccc(cc1)Sc2ccc(cc2)OP(=S)(OC)OC
961	C(Cl)(Cl)Br
962	CC(C)(C)NC(=O)Oc1cccc(c1)NC(=O)N(C)C
963	C1CCOCC1
964	c1cc(cc(c1)Cl)[N+](=O)[O-]
965	c1ccc2c(c1)ccc(n2)c3ccc4ccccc4n3
966	CCN(CC)C(=O)CSc1ccc(nn1)Cl
967	C=CCCC=C
968	COC(=O)c1ccccc1C(=O)OC
969	c1cc(ccc1N)[N+](=O)[O-]
970	CN(C)C(=O)NC1CC2CC1C3C2CCC3
971	c1cc2cccc3c2c(c1)C=C3
972	CC(C#C)OC(=O)Nc1cccc(c1)Cl
973	CCCCCl
974	c1cc(c(c(c1)Cl)Cl)c2cc(ccc2Cl)Cl
975	CCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
976	c1cc(cc(c1)[N+](=O)[O-])N
977	c1cc(cc(c1)Br)Br
978	c1ccc2c(c1)cnc3c2cccc3
979	CC(C)CC(C)C
980	C([N+](=O)[O-])(Cl)(Cl)Cl
981	CCO
982	c1cc2ccc3cccc4c3c2c(c1)cc4
983	CC(CCl)Cl
984	c1cc(c(cc1Cl)Cl)O
985	CCCCCCCC
986	CC(=O)N
987	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)Cl)Cl
988	CC1CC(=O)C=C(C12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC
989	c1cc(c(c(c1)Cl)Cl)[N+](=O)[O-]
990	c1ccc(cc1)NC(=O)N(Cc2ccc(cc2)Cl)C3CCCC3
991	CCCCCCCCC=C
992	CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
993	CC(C)Cc1ccccc1
994	CCOC(C)OCC
995	CCCCC1C(=O)N(N(C1=O)c2ccc(cc2)O)c3ccccc3
996	CCOc1ccc(cc1)NC(=O)N
997	CCCCI
998	c1nc2c(c(n1)O)ncn2C3C(C(C(O3)CO)O)O
999	CC(C)C(c1ccc(cc1)OC(F)F)C(=O)OC(C#N)c2cccc(c2)Oc3ccccc3
1000	CCI
1001	c1ccsc1
1002	c1ccc(cc1)c2c(nc3c(n2)c(nc(n3)N)N)N
1003	CC1CCCCC1NC(=O)Nc2ccccc2
1004	CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
1005	CCCCN(CC)C(=O)SCCC
1006	Cc1cccc(c1NC(=O)c2cc(c(cc2O)Cl)S(=O)(=O)N)C
1007	Cc1ccc(cc1)C
1008	CC(=O)C(C)(C)C
1009	CCCCc1c(nc([nH]c1=O)NCC)C
1010	c1ccc2c(c1)ncs2
1011	c1ccc2cc3cc(ccc3cc2c1)N
1012	CCCCCCO
1013	c1cc(c(c(c1)F)C(=O)NC(=O)Nc2cc(c(c(c2F)Cl)F)Cl)F
1014	c1cc(c(c(c1)Cl)Cl)O
1015	Cc1cccc(c1C)C
1016	CC(C)C(C)O
1017	C1CCCC2(CCC1)C(=O)NC(=O)NC2=O
1018	COC=O
1019	C(C(Cl)(Cl)Cl)Cl
1020	C1CCCC2(CC1)C(=O)NC(=O)NC2=O
1021	c1cc(ccc1[N+](=O)[O-])[N+](=O)[O-]
1022	c1ccc2c(c1)c3ccccc3[nH]2
1023	CC(C)c1ccccc1OC(=O)NC
1024	CCC(CC)(CC)O
1025	c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-]
1026	c1ccc(c(c1)C2=NC(C(=O)Nc3c2cc(cc3)Cl)O)Cl
1027	c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1028	C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
1029	Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1030	CC(=C)C=C
1031	CCOC(=O)C
1032	CN(C)C(=O)N(C)C
1033	CCN1c2cc(ccc2NC(=O)c3c1nccc3)Cl
1034	CCCCC#C
1035	Cc1cc(c(c(c1C)C)C)C
1036	CCCC(C)O
1037	C=C
1038	CC(C)C(C)(C)C
1039	CCC(C)CO
1040	CCc1ccccc1CC
1041	C(C(C(C(C(CO)O)O)O)O)O
1042	CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
1043	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
1044	CCCCCCCCCCCCCCCCO
1045	COc1cnc2cncnc2n1
1046	CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
1047	Cc1c2ccccc2c(c3c1ccc4c3cccc4)C
1048	c1ccc2c(c1)CCN2
1049	CCN1c2cc(cc(c2NC(=O)c3c1nccc3)C)N(C)C
